timestamp,city,club,address,occupancy
2026-08-14T02:34:38Z,Šiaulių klubai,Šiaulių Akropolis,Aido g. 8; Šiauliai,100
2026-08-14T02:34:38Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,2
2026-08-14T02:34:38Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,1
2026-08-14T02:34:38Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,0
2026-08-14T02:34:38Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,2
2026-08-14T02:34:38Z,Kauno klubai,Raudondvaris,Raudondvario pl. 169b; Kaunas,2
2026-08-14T02:34:38Z,Vilniaus klubai,Pilaitė,Vydūno g. 2; Vilnius,1
2026-08-14T02:34:38Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,1
2026-08-14T02:34:38Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,1
2026-08-14T02:34:38Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,2
2026-08-14T02:34:38Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,2
2026-08-14T02:34:38Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,1
2026-08-14T02:34:38Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-08-14T02:34:38Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,1
2026-08-14T02:34:38Z,Vilniaus klubai,Riešė - jau rugsėjį🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-08-14T02:34:38Z,Vilniaus klubai,Vilniaus Žalgiris,Žalgirio g. 92; Vilnius,2
2026-08-14T02:34:38Z,Vilniaus klubai,Vilniaus Akropolis,Ozo g. 25; Vilnius,1
2026-08-14T02:34:38Z,Vilniaus klubai,Pikas,Ukmergės g. 221; Vilnius,1
2026-08-14T02:34:38Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,1
2026-08-14T04:28:14Z,Šiaulių klubai,Šiaulių Akropolis,Aido g. 8; Šiauliai,4
2026-08-14T04:28:14Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,10
2026-08-14T04:28:14Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,4
2026-08-14T04:28:14Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,3
2026-08-14T04:28:14Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,9
2026-08-14T04:28:14Z,Kauno klubai,Raudondvaris,Raudondvario pl. 169b; Kaunas,14
2026-08-14T04:28:14Z,Vilniaus klubai,Pilaitė,Vydūno g. 2; Vilnius,6
2026-08-14T04:28:14Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,4
2026-08-14T04:28:14Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,7
2026-08-14T04:28:14Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,6
2026-08-14T04:28:14Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,5
2026-08-14T04:28:14Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,5
2026-08-14T04:28:14Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,2
