timestamp,city,club,address,occupancy
2026-03-11T00:31:34Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-03-11T00:31:34Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-03-11T00:31:34Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,1
2026-03-11T00:31:34Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,0
2026-03-11T00:31:34Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,1
2026-03-11T00:31:34Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,2
2026-03-11T00:31:34Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,2
2026-03-11T00:31:34Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,100
2026-03-11T00:31:34Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,2
2026-03-11T00:31:34Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,1
2026-03-11T00:31:34Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-03-11T00:31:34Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,100
2026-03-11T00:31:34Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-03-11T00:31:34Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,100
2026-03-11T00:31:34Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,0
2026-03-11T00:31:34Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,0
2026-03-11T00:31:34Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,1
2026-03-11T00:31:34Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,0
2026-03-11T01:11:51Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-03-11T01:11:51Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-03-11T01:11:51Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,1
2026-03-11T01:11:51Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,0
2026-03-11T01:11:51Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,100
2026-03-11T01:11:51Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,0
2026-03-11T01:11:51Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,100
2026-03-11T01:11:51Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,100
2026-03-11T01:11:51Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,2
2026-03-11T01:11:51Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,0
2026-03-11T01:11:51Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-03-11T01:11:51Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,100
2026-03-11T01:11:51Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,1
2026-03-11T01:11:51Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,0
2026-03-11T01:11:51Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,100
2026-03-11T01:11:51Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,0
2026-03-11T01:11:51Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,100
2026-03-11T01:11:51Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,0
2026-03-11T01:58:09Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-03-11T01:58:09Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-03-11T01:58:09Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,0
2026-03-11T01:58:09Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,0
2026-03-11T01:58:09Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,1
2026-03-11T01:58:09Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,100
2026-03-11T01:58:09Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,100
2026-03-11T01:58:09Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,100
2026-03-11T01:58:09Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,1
2026-03-11T01:58:09Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,0
2026-03-11T01:58:09Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,0
2026-03-11T01:58:09Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-03-11T01:58:09Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,1
2026-03-11T01:58:09Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,0
2026-03-11T01:58:09Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,100
2026-03-11T01:58:09Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,100
2026-03-11T01:58:09Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,0
2026-03-11T01:58:09Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,0
2026-03-11T03:05:31Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-03-11T03:05:31Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,0
2026-03-11T03:05:31Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,1
2026-03-11T03:05:31Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,1
2026-03-11T03:05:31Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,1
2026-03-11T03:05:31Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,0
2026-03-11T03:05:31Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,100
2026-03-11T03:05:31Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,100
2026-03-11T03:05:31Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,1
2026-03-11T03:05:31Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,1
2026-03-11T03:05:31Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,0
2026-03-11T03:05:31Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-03-11T03:05:31Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,1
2026-03-11T03:05:31Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,0
2026-03-11T03:05:31Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,0
2026-03-11T03:05:31Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,100
2026-03-11T03:05:31Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,0
2026-03-11T03:05:31Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,0
2026-03-11T03:57:37Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,0
2026-03-11T03:57:37Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,2
2026-03-11T03:57:37Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,2
2026-03-11T03:57:37Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,2
2026-03-11T03:57:37Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,2
2026-03-11T03:57:37Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,1
2026-03-11T03:57:37Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,2
2026-03-11T03:57:37Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,0
2026-03-11T03:57:37Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,2
2026-03-11T03:57:37Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,2
2026-03-11T03:57:37Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-03-11T03:57:37Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,1
2026-03-11T03:57:37Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,1
2026-03-11T03:57:37Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,2
2026-03-11T03:57:37Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,1
2026-03-11T03:57:37Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,1
2026-03-11T03:57:37Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,1
2026-03-11T03:57:37Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,2
2026-03-11T04:40:51Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,1
2026-03-11T04:40:51Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,4
2026-03-11T04:40:51Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,3
2026-03-11T04:40:51Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,4
2026-03-11T04:40:51Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,4
