timestamp,city,club,address,occupancy
2026-03-13T00:45:33Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-03-13T00:45:33Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-03-13T00:45:33Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,1
2026-03-13T00:45:33Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,1
2026-03-13T00:45:33Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,0
2026-03-13T00:45:33Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,100
2026-03-13T00:45:33Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,100
2026-03-13T00:45:33Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,1
2026-03-13T00:45:33Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,1
2026-03-13T00:45:33Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,0
2026-03-13T00:45:33Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-03-13T00:45:33Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-03-13T00:45:33Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-03-13T00:45:33Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,0
2026-03-13T00:45:33Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,1
2026-03-13T00:45:33Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,100
2026-03-13T00:45:33Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,0
2026-03-13T00:45:33Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,0
2026-03-13T01:37:25Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-03-13T01:37:25Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-03-13T01:37:25Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,1
2026-03-13T01:37:25Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,100
2026-03-13T01:37:25Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,0
2026-03-13T01:37:25Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,0
2026-03-13T01:37:25Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,100
2026-03-13T01:37:25Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,0
2026-03-13T01:37:25Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,1
2026-03-13T01:37:25Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,100
2026-03-13T01:37:25Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,100
2026-03-13T01:37:25Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-03-13T01:37:25Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-03-13T01:37:25Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,0
2026-03-13T01:37:25Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,100
2026-03-13T01:37:25Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,100
2026-03-13T01:37:25Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,0
2026-03-13T01:37:25Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,0
2026-03-13T02:39:09Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-03-13T02:39:09Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-03-13T02:39:09Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,1
2026-03-13T02:39:09Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,0
2026-03-13T02:39:09Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,0
2026-03-13T02:39:09Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,0
2026-03-13T02:39:09Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,0
2026-03-13T02:39:09Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,1
2026-03-13T02:39:09Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,1
2026-03-13T02:39:09Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,1
2026-03-13T02:39:09Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,0
2026-03-13T02:39:09Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-03-13T02:39:09Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-03-13T02:39:09Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,1
2026-03-13T02:39:09Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,100
2026-03-13T02:39:09Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,100
2026-03-13T02:39:09Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,1
2026-03-13T02:39:09Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,0
2026-03-13T03:35:44Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-03-13T03:35:44Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,3
2026-03-13T03:35:44Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,3
2026-03-13T03:35:44Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,1
2026-03-13T03:35:44Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,0
2026-03-13T03:35:44Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,1
2026-03-13T03:35:44Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,2
2026-03-13T03:35:44Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,1
2026-03-13T03:35:44Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,2
2026-03-13T03:35:44Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,2
2026-03-13T03:35:44Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-03-13T03:35:44Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,1
2026-03-13T03:35:44Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,1
2026-03-13T03:35:44Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,2
2026-03-13T03:35:44Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,1
2026-03-13T03:35:44Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,1
2026-03-13T03:35:44Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,1
2026-03-13T03:35:44Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,1
2026-03-13T04:24:17Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,3
2026-03-13T04:24:17Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,7
2026-03-13T04:24:17Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,6
2026-03-13T04:24:17Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,4
2026-03-13T04:24:17Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,0
2026-03-13T04:24:17Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,5
2026-03-13T04:24:17Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,4
